island;ID;lat;long;elev;location;Dist;SLMP;human.arrival;area;archipelago;present_ka0_Lambeck;ka5_Lambeck;MED;FREQ;LGM_ka21_Lambeck
Flores;Flores;39,4;-31,2;530;Rasa;1872,34;0,438;468;143,1;Azores;152,39745;153,071775;217,13265;253,5462;348,626025
Pico;Pico_Caveiro;38,4;-28,2;920;Caveiro;1637,47;0,46;468;447;Azores;430,893675;431,568;486,86265;732,991275;801,0981
Sao Nicolau;Sao Nicolau;16,62;-24,35;1000;Sao Nicolau;749,6;0,464;370;388;Cabo Verde;373,380496;382,42716;444,931384;459,735016;537,865296
Santo Antao;Santo Antao;17,1;-25,2;1200;NA;857,07;0,42;370;785;Cabo Verde;830,64824;839,694904;944,142752;970,46032;1021,450608
Gran Canaria;Gran Canaria;28,1;-15,6;870;Laguna de Valleseco;219,72;0,809;2000;1560;Canary Islands;1637,395452;1650,983796;2183,193936;2396,077992;2602,922784
La Gomera;La Gomera;28,2;-17,3;1250;Gomera National Park;347,18;0,757;1800;369,8;Canary Islands;405,385596;407,65032;517,866888;592,60278;821,339904
Tenerife;Tenerife;28,5;-16,4;600;La Laguna;309,75;0,755;2000;2034;Canary Islands;2120,536572;2137,144548;2380,979832;2436,843024;2547,059592
Hispaniola;15633;19,028;-70,924;2455;Arrepentimientos;715,37;0,367;2500;76480;Greater Antilles;74545,89805;74839,41767;84232,04557;85269,47168;86818,73778
Nightingale Island;Nightingale Island Ljung 2007;-37,4;-12,5;180;Ljung 2007;2794,65;0,269;444;2,6;Tristan da Cunha;6,035625;7,376875;24,813125;28,836875;36,884375
Tristan da Cunha;Tristan Hillpiece Bog;-37;-12,3;63;Tristan Hillpiece Bog;2776,61;0,267;444;98;Tristan da Cunha;109,311875;110,653125;133,454375;138,14875;144,184375
Iceland;17289;64,02208333;-20,71087056;50;Hestvatn;1208,83;0,614;1076;102775;Iceland;105763,2127;106918,0247;126839,7218;137473,8752;169782,2582
Mauritius;Mauritius;-20,3;57,6;530;Kanaka Crater;1874,49;0,399;302;2040;Mascarenes;1915,98186;1930,43604;2670,00825;2748,70323;2918,13834
Taveuni;Taveuni;-16,43;179,94;810;Tagamaucia;2963,24;0,301;3000;442;Fiji;;;;;
Viti Levu;Viti Levu;-17,31;178,17;2;Voli Voli;2706,89;0,211;3000;10531;Fiji;10881,60812;11025,70842;21768,91511;22095,37964;23584,41609
Yacata;Cakadrove;-17,26;179,51;2;Yacata in Cakadrove province;2869,76;0,338;3000;6;Fiji;10,619596;13,887164;43,295276;61,2669;163,3784
San Cristobal;15250;-0,895295;-89,48004;679;Laguna El Junco;948,39;0,236;115;558;Gal‡pagos;584,606592;590,589408;802,552032;866,653632;1060,667808
Maui;17832;20,79429;-156,475355;0;Kealia Pond;3705,66;0,29;750;1883,5;Hawaii;1945,385871;1956,589245;3004,104714;5087,932278;5798,546286
Alexander Selkirk;Alexander Selkirk;-33,75;-80,83;20;Alexander Selkirk;751,65;0,26;385;49,52;Juan Fern‡ndez;48,506304;48,506304;54,212928;57,06624;59,206224
Robinson Crusoe;Robinson Crusoe Pinat;-33,6;-78,9;NA;Pinat;609,42;0,344;385;47,94;Juan Fern‡ndez;71,3328;84,886032;117,69912;126,259056;191,885232
New Caledonia;New Caledonia Plum 2;-21,5;165,4;3;Plume 2;1353,55;0,17;2800;18576;New Caledonia;17136,75028;17573,47235;38254,29803;38825,94885;39927,73395
Great Mercury;41514;-36,61015;175,78865;1;Waitetoke;2178,77;0,389;780;20;Mercury;33,767125;35,8345;155458,3305;167495,2769;421727,2719
Tawhiti Rahi;Poor Knights Island;-35,5;174,7;50;Tawhiti Rahi;2069,92;0,451;780;1,5;Poor Knights;1,3986;1,3986;5,5944;10,4895;379842,9768
Upolu;Upolu;-13,91;-171,83;760;Lake Lanotoo;3887,14;0,222;2800;1125;Samoa;1171,51164;1193,2063;1786,47181;1968,37319;4517,49574
Moorea;Moorea Lake Temae;-17,48;-149,76;83;Lake Temae;5868,46;0,235;1000;133;Society;143,11745;144,753078;165,198428;169,287498;181,554708
Rimatara;Rimatara;-22,64;-152,8;5;Maunutu;5500;0,2;750;9;Austral;6,20256;6,97788;10,07916;10,07916;51,17112
Raivavae;41506;-23,868164;-147,678742;1,42;Ra'irua marsh;5830,21;0,196;750;17,52;Austral;21,70896;21,70896;105,44352;115,52268;218,64024
Rapa Iti;41532;-27,604014;-144,351975;2;Tukou marsh;6009,78;0,194;750;38;Austral;48,06984;50,3958;95,36436;100,7916;124,82652