"";"";"Monoletes";"Triletes";"Poaceae";"Pandanus";"Cyperaceae";"Apocynaceae";"Araliaceae.Type";"Barringtonia.asiatica";"Bauhinia";"Casuarina";"Celtis.pacifica";"Centella.asiatica";"Cocos";"Colocasia.esculenta";"Coprosma";"Cyathula.prostrata";"Euphorbiacea";"Fabaceae.type";"Ficus";"Geniostoma";"Glochidion";"Guettarda.speciosa";"Inocarpus";"Ixora.mooreensis";"Loranthus.sp";"Macaranga";"Magnifera.indica";"Hibiscus";"Sida.acuta";"Other.Malvaceae.Type";"Melastoma.sp";"Melia.azedarach";"Myrtaceae";"Myrsinaceae";"Neonauclea";"Passifloraceae";"Psychotria";"Rhamnaceae.type";"Rubiaceae.Type.1";"Rubiaceae.Type.2";"Rubiaceae.Type.3";"Rubiaceae.Type.4";"Rubiaceae.Other.Types";"Rutaceae.Types";"Sapindaceae.cf.";"Sapotaceae";"Sonneratia";"Terminalia";"Trema.discolor";"Urticaeae";"Weimannia"
"1";451;0,152173913152174;0,304347826304348;0,108695652108696;0,108695652108696;0,152173913152174;0;0;0;0;0,0217391300217391;0;0;0;0;0;0;0;0;0,0434782610434783;0;0;0;0;0;0;0;0;0,0652173910652174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0434782610434783;0;0;0
"2";473;0,142857142857143;0,296703296703297;0,021978021978022;0,032967032967033;0,274725274725275;0,010989010989011;0;0;0;0,054945054945055;0;0;0,054945054945055;0;0;0;0;0;0,043956043956044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0659340659340659;0
"3";490;0,1999999998;0,161904761838095;0,0380952379619048;0,0952380949047619;0,32380952367619;0;0;0;0;0;0;0;0,0952380949047619;0,0380952379619048;0;0;0;0;0,00952380999047619;0;0;0;0;0,00952380999047619;0;0;0;0;0;0;0;0;0;0;0;0;0,0285714289714286;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4";508;0,0738255030738255;0,409395973409396;0,033557047033557;0,221476510221476;0,0268456380268456;0;0;0,00671140900671141;0;0,0134228190134228;0;0;0,033557047033557;0;0;0;0;0;0,0939597320939597;0;0;0;0;0;0;0;0,0134228190134228;0,0201342280201342;0;0;0;0;0,00671140900671141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00671140900671141;0;0,0402684560402685;0
"5";541;0,183206106816794;0,221374045778626;0;0,343511449656488;0,137404579862595;0;0;0,00763358799236641;0;0;0;0;0,0534351139465649;0;0;0;0;0;0,0152671759847328;0;0;0;0;0;0;0;0;0,0152671759847328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0152671759847328;0,00763358799236641;0
"6";575;0,188679245188679;0,132075472132075;0,0283018870283019;0,40566037740566;0,122641509122642;0;0;0;0;0;0;0;0,0283018870283019;0;0;0;0;0;0,00943396200943396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0849056600849056;0
"7";603;0,164179104164179;0,216417910216418;0,0447761190447761;0,440298507440299;0,0447761190447761;0;0;0,0149253730149254;0;0,00746268700746269;0;0;0,0298507460298507;0;0;0;0;0;0,0149253730149254;0;0;0;0;0,00746268700746269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00746268700746269;0;0;0;0;0,00746268700746269;0;0
"8";616;0,122641509245283;0,0754716981509434;0,0235849060471698;0,551886794103774;0,0141509430283019;0;0;0;0,00471698100943396;0;0,00471698100943396;0;0;0;0;0;0;0;0,122641509245283;0,00471698100943396;0,0330188680660377;0;0;0;0;0;0,00471698100943396;0,0141509430283019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00471698100943396;0;0,0141509430283019;0,00471698100943396
"9";638;0,117021277;0,063829787;0;0,627659574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,106382979;0;0,074468085;0;0;0;0;0;0;0,010638298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"10";657;0,0824742270824742;0,123711340123711;0,0412371130412371;0,443298969443299;0;0,0618556700618557;0;0;0;0;0;0;0;0;0;0;0;0;0,154639175154639;0;0,0618556700618557;0;0;0;0;0;0;0,0309278350309278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";676;0,140776698859223;0,121359222878641;0,0291262139708738;0,509708737490291;0,00485436899514563;0;0;0;0;0;0;0;0,00485436899514563;0;0;0;0;0;0,106796116893204;0;0,00485436899514563;0;0;0;0;0;0;0;0;0;0;0;0,00485436899514563;0;0;0;0;0;0;0;0,0145631069854369;0;0,0145631069854369;0;0;0;0;0;0;0,0436893199563107;0
"12";695;0,0829268287512195;0,0731707317804878;0,0536585368390244;0,692682924921951;0,0292682929121951;0,00975609797073171;0;0;0;0;0;0;0;0;0;0;0;0;0,0243902439268293;0;0,00487804898536585;0;0,00487804898536585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00975609797073171;0,00975609797073171;0,00487804898536585;0
"13";717;0,394285714394286;0,2000000002;0,0228571430228571;0,285714286285714;0,0571428570571429;0;0;0;0;0;0;0,00571428600571429;0,0114285710114286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0114285710114286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0114285710114286;0
"14";739;0;0,261146497;0,025477707;0,152866242;0,375796178;0;0;0;0;0;0;0,01910828;0,121019108;0;0;0;0;0;0;0;0;0;0;0;0;0,006369427;0;0,006369427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,006369427;0;0;0,025477707;0;0
"15";754;0,347826087;0,173913043;0,053140097;0,033816425;0,188405797;0,033816425;0;0;0;0;0;0;0,125603865;0;0;0;0;0,004830918;0;0;0;0;0;0;0;0;0,004830918;0,004830918;0;0;0;0;0;0;0;0;0,009661836;0;0;0;0;0;0;0;0;0;0;0;0;0,019323671;0
"16";770;0,290748899290749;0,0881057270881057;0,030837004030837;0,0264317180264317;0,339207048339207;0;0;0,00440528600440529;0;0;0;0;0,14977973614978;0;0;0;0;0;0,0132158590132159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0132158590132159;0;0;0;0;0;0;0,00440528600440529;0;0;0;0;0,0132158590132159;0,0264317180264317;0
"17";787;0,276699028723301;0,169902912830097;0,0339805829660194;0,0436893199563107;0,218446601781553;0;0;0;0;0,0291262139708738;0;0;0,184466018815534;0;0;0;0;0;0,00485436899514563;0;0,00485436899514563;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00485436899514563;0;0;0;0;0;0;0;0;0,0145631069854369;0;0;0;0;0;0,0145631069854369;0
"18";805;0,306122448387755;0,122448979755102;0,0306122449387755;0,0204081629591837;0,321428570357143;0;0;0;0;0,0102040819795918;0;0;0,153061224693878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0102040819795918;0;0;0;0,0102040819795918;0,00510204098979592;0,0102040819795918;0
"19";829;0,393103448;0,165517241;0,034482759;0,027586207;0,227586207;0;0;0;0;0,006896552;0;0;0,089655172;0;0;0,006896552;0;0;0;0;0;0;0;0;0;0;0,013793103;0,020689655;0;0;0;0;0;0;0;0;0,006896552;0;0;0;0;0;0;0;0;0;0;0;0,006896552;0;0
"20";838;0,390862944;0,111675127;0,030456853;0,035532995;0,269035533;0;0;0;0;0;0;0;0,147208122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,005076142;0;0;0;0;0;0;0;0;0,005076142;0;0;0,005076142;0;0;0;0;0;0;0;0;0;0;0
"21";846;0,293814433587629;0,154639175309278;0,0257731960515464;0,036082474072165;0,268041237536082;0;0;0;0;0;0;0;0,190721649381443;0;0;0,00515463901030928;0;0;0;0;0,00515463901030928;0;0;0;0;0;0,00515463901030928;0;0;0,00515463901030928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00515463901030928;0;0;0,00515463901030928;0;0
"22";855;0,37628866;0,097938144;0,025773196;0,046391753;0,128865979;0;0,005154639;0;0;0;0;0;0,288659794;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,015463918;0;0;0;0;0;0;0,010309278;0;0;0;0;0;0,005154639;0
"23";865;0,306358381306358;0,184971098184971;0,017341040017341;0,16763005816763;0,104046243104046;0;0;0,0231213870231214;0;0;0;0;0,0982658960982659;0;0;0;0;0;0;0;0,00578034700578035;0;0;0;0;0;0,0115606940115607;0,0231213870231214;0;0;0;0;0;0;0;0;0,0231213870231214;0;0;0;0;0;0;0;0;0;0;0;0,0346820810346821;0;0
"24";873;0,504587156;0,082568807;0,02293578;0,032110092;0,082568807;0;0;0;0;0;0;0;0,211009174;0;0;0,009174312;0;0;0;0;0;0;0;0,009174312;0;0;0;0,004587156;0;0;0;0;0;0;0;0;0,009174312;0;0;0,004587156;0;0;0;0;0,004587156;0;0;0;0,02293578;0;0
"25";887,5;0,4000000008;0,121212121242424;0,0363636360727273;0,0484848480969697;0,115151515230303;0;0;0;0;0;0;0;0,242424242484848;0;0;0;0;0;0,00606060601212121;0;0;0;0;0;0;0;0,00606060601212121;0,00606060601212121;0;0;0;0;0;0;0;0;0,00606060601212121;0;0;0;0;0;0;0;0;0;0;0;0,0121212120242424;0;0
"26";905;0,350649352051948;0,201298701603896;0,0194805190584416;0,0649350651948052;0,012987013038961;0,0324675320974026;0;0,00649350601948052;0;0;0;0;0,142857143428571;0;0,0194805190584416;0;0;0;0,0389610391168831;0;0;0;0;0;0;0;0,00649350601948052;0;0;0;0;0;0;0;0;0;0;0,0194805190584416;0;0;0;0;0;0;0;0;0;0;0;0,0844155842532468;0
"27";910;0,254335260508671;0,156069364312139;0,0289017340578035;0,0924855491849711;0,0231213870462428;0;0;0,00578034701156069;0;0;0;0;0,306358381612717;0;0;0,00578034701156069;0;0;0,0173410400346821;0;0;0;0;0,0115606940231214;0;0,0173410400346821;0;0;0;0;0;0;0;0;0;0;0,0346820810693642;0;0;0;0;0;0;0;0;0;0;0;0,0289017340578035;0,0173410400346821;0
"28";935;0,212121212424242;0,111111111222222;0;0,414141414828283;0,0303030300606061;0;0;0;0;0;0;0;0,0404040400808081;0,020202020040404;0;0;0;0;0,0606060611212121;0;0;0;0,010101010020202;0;0;0;0,010101010020202;0;0,0303030300606061;0;0,010101010020202;0;0;0;0,010101010020202;0;0;0;0;0;0;0;0;0;0;0;0;0;0,010101010020202;0,0303030300606061;0
"29";946;0,204678362795322;0,339181286660819;0,0116959059883041;0,0701754389298246;0,0701754389298246;0;0;0,00584795299415205;0;0;0;0;0,216374268783626;0,0116959059883041;0;0;0;0;0,0175438599824561;0;0;0;0;0;0;0,00584795299415205;0;0,0409356729590643;0;0;0;0;0;0;0;0;0,00584795299415205;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"30";952;0,347826087347826;0,208695652208696;0,0347826090347826;0,217391304217391;0,00869565200869565;0;0;0,00869565200869565;0;0;0;0;0,0434782610434783;0;0;0;0,0173913040173913;0;0,0347826090347826;0;0,0347826090347826;0;0;0;0;0,0173913040173913;0,00869565200869565;0,00869565200869565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00869565200869565;0;0
"31";957;0,275;0,15;0,075;0,275;0,05;0;0;0;0;0;0;0;0,025;0;0;0;0;0;0,125;0;0;0;0;0;0;0;0;0,025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"32";958;0,303278689;0,319672131;0,008196721;0,229508197;0,008196721;0;0;0;0;0;0;0;0,073770492;0;0,016393443;0;0;0;0;0;0;0;0;0;0;0,008196721;0;0;0;0;0;0;0;0;0;0;0;0;0,008196721;0;0;0;0,008196721;0,016393443;0;0;0;0;0;0;0
"33";959;0,219047618561905;0,333333332333333;0;0,323809523352381;0;0;0;0,00952380998095238;0;0;0;0;0,0761904758476191;0;0;0;0;0;0;0;0;0;0;0;0;0,00952380998095238;0;0,00952380998095238;0;0;0;0;0,00952380998095238;0;0;0;0,00952380998095238;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"34";961;0,277777778833333;0,222222222666667;0;0,319444444958333;0,00694444402083333;0;0;0;0;0;0;0;0,08333333325;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00694444402083333;0,0138888890416667;0;0;0;0;0;0;0;0;0,0138888890416667;0,00694444402083333;0;0;0;0;0,00694444402083333;0;0;0;0;0;0,0208333330625;0,0208333330625;0
"35";962;0,278787879278788;0,266666667266667;0;0,236363636236364;0,0181818180181818;0;0;0,0242424240242424;0;0;0;0;0,0787878790787879;0;0;0;0;0;0;0;0,0242424240242424;0;0;0,0181818180181818;0;0;0;0,0181818180181818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00606060600606061;0,00606060600606061;0;0;0;0;0,0121212120121212;0,0121212120121212;0
"36";963;0,344497607655502;0,37799043062201;0,0334928229665072;0,0861244019138756;0,0717703349282297;0;0;0;0;0;0;0;0,0191387559808612;0;0;0;0;0;0;0;0;0;0;0,0143540669856459;0;0,0191387559808612;0,0143540669856459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0143540669856459;0,00478468899521531;0
"37";966;0,305555556;0,277777778;0;0,277777778;0,009259259;0;0;0;0;0;0;0;0,064814815;0;0;0;0;0;0;0;0,009259259;0;0;0;0;0,009259259;0;0,018518519;0;0;0;0;0;0;0;0;0,009259259;0;0;0;0;0;0;0,009259259;0;0;0;0;0;0,009259259;0
"38";970;0,341346154341346;0,350961539350962;0;0,129807692129808;0,0384615380384615;0;0;0;0;0;0;0;0,0625000000625;0;0;0;0;0;0;0;0,0336538460336538;0;0;0;0;0,00480769200480769;0,00480769200480769;0,00480769200480769;0;0;0;0;0;0;0;0;0,00961538500961539;0;0;0;0;0;0,00480769200480769;0,00480769200480769;0;0;0;0;0,00961538500961539;0;0
"39";973;0,443478261886957;0,421739130843478;0;0,0434782610869565;0,0086956520173913;0;0;0;0;0,00434782600869565;0;0;0,00434782600869565;0;0,00434782600869565;0;0;0;0;0;0,013043478026087;0;0;0;0;0;0,00434782600869565;0;0;0,0217391300434783;0;0;0;0;0;0;0,0173913040347826;0;0;0;0;0;0;0,00434782600869565;0;0;0;0;0,00434782600869565;0,00434782600869565;0
"40";975;0,492537313985075;0,39303482678607;0;0,0298507460597015;0,00497512400995025;0;0;0;0;0;0;0;0,00497512400995025;0;0,0149253730298507;0;0;0;0;0;0,019900498039801;0;0;0,00497512400995025;0;0;0,00497512400995025;0;0;0,00497512400995025;0;0;0,00497512400995025;0;0;0;0,019900498039801;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"41";976;0,42439024357561;0,273170731726829;0,0243902439756098;0,0439024389560976;0,0926829269073171;0;0;0;0;0;0;0;0,0341463409658537;0;0,00487804899512195;0,00487804899512195;0;0;0,00487804899512195;0;0,0487804879512195;0;0;0,0243902439756098;0;0,0146341459853659;0;0;0;0;0;0;0;0;0;0;0,00487804899512195;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"42";977;0,4999999995;0,425531914574468;0;0,0106382979893617;0,0265957449734043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00531914899468085;0,00531914899468085;0;0;0;0;0;0;0;0;0,00531914899468085;0;0;0;0;0;0;0,00531914899468085;0;0;0;0,00531914899468085;0,0106382979893617;0;0
"43";978;0,410714285178571;0,401785713196429;0;0,0669642858660714;0,0223214289553571;0,00446428599107143;0;0,00446428599107143;0;0;0;0;0,0223214289553571;0;0;0;0;0;0;0;0,0357142859285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0133928569732143;0;0;0;0;0;0,00446428599107143;0;0;0;0;0;0,00446428599107143;0,00892857098214286;0
"44";979;0,471014492528985;0,391304347608696;0;0,0362318839637681;0,0289855069710145;0;0;0;0;0;0;0;0,0289855069710145;0,00724637699275362;0;0;0;0;0;0;0;0;0;0,00724637699275362;0;0;0;0;0;0;0;0;0,00724637699275362;0;0;0;0;0;0;0;0;0;0,0144927539855072;0,00724637699275362;0;0;0;0;0;0;0
"45";981;0,419354839;0,301075269;0,021505376;0,043010753;0,010752688;0,010752688;0;0;0;0;0,010752688;0;0;0;0;0;0;0;0,064516129;0;0;0;0;0;0;0;0,010752688;0,010752688;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,096774194;0
"46";983;0,28;0,288;0;0,232;0,016;0,008;0;0,024;0;0;0;0;0,056;0;0,032;0;0;0;0;0;0;0;0;0,04;0;0;0;0,008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,008;0;0;0;0;0;0,008;0;0
"47";986;0,42622950842623;0,196721312196721;0;0,237704918237705;0;0;0;0,00819672100819672;0;0;0;0;0,0737704920737705;0,00819672100819672;0,00819672100819672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00819672100819672;0;0;0;0;0;0,0327868850327869;0
"48";988;0,292452829707547;0,292452829707547;0;0,235849056764151;0;0,00943396199056604;0;0;0;0;0;0;0,0943396229056604;0;0,0188679249811321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0188679249811321;0;0;0;0;0;0,0377358489622642;0
"49";991;0,287878787424242;0,242424241515152;0;0,257575757484849;0;0;0;0,015151514969697;0;0;0;0;0,0303030299393939;0,00757575798484848;0,00757575798484848;0;0;0;0,106060605787879;0;0;0;0;0,00757575798484848;0;0;0;0,00757575798484848;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00757575798484848;0;0;0;0,00757575798484848;0,015151514969697;0;0
"50";993;0,266129032266129;0,266129032266129;0,0887096770887097;0,225806452225806;0,0241935480241935;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0241935480241935;0;0;0;0;0;0;0;0;0,0322580650322581;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0725806450725806;0
"51";1007;0,21;0,15;0;0,44;0,02;0;0;0;0;0,02;0;0;0,12;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0,02;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"52";1035;0,050505051;0,121212121;0;0,474747475;0,060606061;0;0;0;0;0;0,01010101;0;0,191919192;0;0,02020202;0;0;0;0,02020202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02020202;0;0;0;0;0;0;0,03030303;0;0;0;0;0;0;0
"53";1104;0,1000000001;0,1000000001;0;0,557142857557143;0;0;0;0;0;0;0,0714285710714286;0,0142857140142857;0,0714285710714286;0;0,0142857140142857;0;0;0;0;0;0;0;0;0;0;0;0;0,0285714290285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0142857140142857;0;0,0285714290285714;0
"54";1138;0,100719424;0,115107914;0;0,525179856;0;0;0;0,014388489;0;0;0;0;0,151079137;0;0;0;0;0;0;0;0;0;0;0;0,014388489;0;0;0;0;0;0;0;0,007194245;0;0;0;0,035971223;0;0;0;0;0;0;0;0;0;0;0;0;0,035971223;0
"55";1172;0,0618556700618557;0,0824742270824742;0;0,685567010685567;0;0;0;0;0;0;0;0;0,154639175154639;0;0,0103092780103093;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00515463900515464;0;0;0;0;0;0;0
"56";1211,5;0,067510549;0,109704641;0;0,624472574;0;0;0;0,012658228;0;0;0;0;0,11814346;0;0;0;0;0;0;0;0,004219409;0;0;0;0;0,004219409;0;0;0;0;0;0;0;0;0;0;0,008438819;0,004219409;0;0;0;0,004219409;0;0,004219409;0;0;0;0;0;0,037974684;0
"57";1259;0,072340426;0,110638298;0;0,531914894;0;0;0;0,004255319;0;0;0;0;0,208510638;0;0,012765957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,017021277;0;0;0;0;0;0;0,012765957;0;0;0;0,008510638;0;0,021276596;0
"58";1291;0,061068702;0,106870229;0;0,538167939;0;0;0;0;0;0;0;0;0,190839695;0;0,022900763;0;0;0;0;0;0;0;0;0,003816794;0;0;0;0;0;0;0,003816794;0;0;0;0;0;0,019083969;0,003816794;0;0;0;0;0;0,019083969;0;0;0,003816794;0;0,015267176;0,011450382;0
"59";1321,5;0,02734375;0,140625;0;0,5390625;0;0;0;0,00390625;0;0;0;0;0,1953125;0;0,04296875;0;0;0;0;0;0;0,00390625;0;0,0078125;0;0;0;0;0;0;0,0078125;0;0;0;0;0;0,015625;0;0;0;0;0;0;0,00390625;0;0;0;0;0;0,01171875;0
"60";1353;0,088235294;0,147058823;0;0,564705882;0;0;0;0,005882353;0;0;0;0;0,111764706;0;0,017647059;0;0;0;0;0;0;0;0;0,011764706;0;0;0;0;0;0;0,005882353;0,005882353;0;0;0;0;0;0;0;0;0;0;0,005882353;0,005882353;0;0;0;0;0,023529412;0,005882353;0
"61";1384,5;0,139705882139706;0,117647059117647;0;0,536764706536765;0;0;0;0;0;0;0;0;0,102941176102941;0;0,00735294100735294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00735294100735294;0;0,0147058820147059;0;0;0;0;0;0,00735294100735294;0;0;0,0147058820147059;0,00735294100735294;0,0220588240220588;0,0220588240220588;0
