"";"";"Cyperaceae";"Dicranopteris.linearis";"Dodonaea.viscosa";"Dryopteridaceae.Polypodiaceae";"Hypolepis";"Lycopodiella.cernua";"Marattiaceae";"Microsorum";"Myrtaceae";"Pinus";"Poaceae..smaller.40.";"Poaceae..larger.40.";"Pteris.berteroana";"Spermatophyta.undiff.";"Urticaceae.Moraceae";"Commelina";"Cyathea";"Pandanus.tectorius";"Euphorbiaceae.undiff.";"Phyllanthus";"Asteroideae";"Homalanthus.cf..H..stokesii";"Sophora.tomentosa";"Colocasia.esculenta";"Histiopteris.incisa";"Sonchus.cf..S..asper";"Amaranthaceae";"Arecaceae.incertae.sedis";"Coprosma";"Malvaceae.undiff.";"Plantago";"Erythrina.variegata";"Celtis";"Cyclophyllum.barbatum";"Convolvulaceae";"Meryta";"Acalypha";"Freycinetia.sp.";"Psychotria";"Triumfetta";"Haloragaceae";"Casuarina";"Myoporum.rapense";"Veronica";"Scaevola.taccada"
"1";-31;0,251655629;0,158940397;0,013245033;0,013245033;0,013245033;0,198675497;0,013245033;0,006622517;0,039735099;0,006622517;0,105960265;0,072847682;0,006622517;0,046357616;0,052980132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2";-12;0,154761904845238;0,615079364384921;0;0,00396825399603175;0,0119047619880952;0,00793650799206349;0,00793650799206349;0,00396825399603175;0;0,00793650799206349;0,138888888861111;0,015873015984127;0,0119047619880952;0;0,00396825399603175;0,00396825399603175;0,00396825399603175;0,00793650799206349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"3";21;0,320463319679537;0,301158300698842;0;0,00772200799227799;0,00772200799227799;0,027027026972973;0;0,003861003996139;0;0;0,169884169830116;0,111969111888031;0,019305018980695;0,003861003996139;0;0;0,011583011988417;0,00772200799227799;0,003861003996139;0,003861003996139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4";53;0,535849056464151;0,0754716979245283;0;0;0,0188679249811321;0;0,00377358499622642;0,00377358499622642;0;0;0,184905659815094;0,120754716879245;0;0;0;0;0;0,045283018954717;0,00377358499622642;0,00377358499622642;0,00377358499622642;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5";85;0,164285713671429;0,07499999985;0;0,0178571429642857;0;0,0142857139714286;0,00714285698571429;0;0,00357142899285714;0,00714285698571429;0,360714285278571;0,264285713471429;0,00357142899285714;0;0,00357142899285714;0;0,00714285698571429;0,0607142858785714;0;0;0,00357142899285714;0,00357142899285714;0,00357142899285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"6";117;0,246305419246305;0,0197044330197044;0;0,0147783250147783;0,0640394090640394;0,0147783250147783;0,00492610800492611;0;0;0;0,157635468157635;0,00985221700985222;0;0,00985221700985222;0,0246305420246305;0,00492610800492611;0,00492610800492611;0,399014778399015;0;0;0;0;0;0,00985221700985222;0,00985221700985222;0,00492610800492611;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"7";150;0,0833333328333333;0,0231481479537037;0,00462962999074074;0,0324074069351852;0,0555555558888889;0,00462962999074074;0;0;0,00462962999074074;0,00462962999074074;0,296296295407407;0,00925925898148148;0,00462962999074074;0,0231481479537037;0,00462962999074074;0,00462962999074074;0;0,37499999925;0;0;0,00925925898148148;0;0;0,0231481479537037;0;0;0,00462962999074074;0,0138888889722222;0,00925925898148148;0,00462962999074074;0,00462962999074074;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8";281;0,0941704038116592;0,0313901349372197;0;0,0134529149730942;0,0403587439192825;0,0313901349372197;0,0269058299461883;0;0,00896860998206278;0;0,497757847004484;0,103139012793722;0;0,00448430499103139;0,0179372199641256;0;0;0,125560537748879;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00448430499103139;0;0;0;0;0;0;0;0;0;0;0;0;0
"9";411;0,358208955;0;0;0,003731343;0,014925373;0,01119403;0,014925373;0,007462687;0;0;0,074626866;0,007462687;0;0,018656716;0,052238806;0;0;0,414179104;0;0;0;0,003731343;0;0,007462687;0;0;0;0;0;0;0;0,007462687;0,003731343;0;0;0;0;0;0;0;0;0;0;0;0
"10";535;0,0370370369259259;0;0;0,00740740698518519;0,0629629628740741;0,00740740698518519;0;0;0;0;0,125925925748148;0,018518518962963;0;0,00370370399259259;0;0;0;0,703703702592593;0;0;0,00370370399259259;0,00370370399259259;0;0,018518518962963;0;0;0;0,00370370399259259;0;0;0;0;0,00370370399259259;0;0;0;0;0;0;0;0;0;0;0;0
"11";562;0,026923077;0;0;0,019230769;0,115384615;0;0;0;0,003846154;0;0,215384615;0;0;0,011538462;0,003846154;0;0;0,519230769;0,007692308;0;0;0,011538462;0;0,038461538;0,015384615;0;0;0;0;0,003846154;0;0;0;0,007692308;0;0;0;0;0;0;0;0;0;0;0
"12";589;0,0627450978117647;0,00392156898823529;0;0,0117647059647059;0,0431372548705882;0;0,0117647059647059;0,0117647059647059;0;0;0,0980392157058824;0;0;0,00392156898823529;0;0;0;0,717647056847059;0,00392156898823529;0;0;0,00392156898823529;0;0,00784313697647059;0;0;0,00392156898823529;0;0;0,00392156898823529;0;0,00392156898823529;0;0;0,00784313697647059;0;0;0;0;0;0;0;0;0;0
"13";617;0,014652015;0;0;0,010989011;0,032967033;0;0;0,003663004;0;0;0,054945055;0;0,007326007;0,007326007;0;0;0;0,84981685;0,007326007;0;0,003663004;0;0;0,007326007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14";680;0,00724637700724638;0;0;0,00362318800362319;0,0181159420181159;0;0;0;0;0,00724637700724638;0,0688405800688406;0;0;0,00724637700724638;0,00362318800362319;0;0;0,862318841862319;0;0;0;0;0,00362318800362319;0;0,00362318800362319;0;0;0,00362318800362319;0;0;0;0;0;0;0;0,0108695650108696;0;0;0;0;0;0;0;0;0
"15";987;0,0377358489622642;0;0;0;0,0113207549886792;0,00754716999245283;0,00377358499622641;0;0,00377358499622641;0;0,0641509429358491;0;0,00377358499622641;0,00754716999245283;0,00377358499622641;0;0;0,84150943315849;0,00754716999245283;0;0,00377358499622641;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00377358499622641;0;0;0;0;0;0;0;0
"16";1293;0,0142857139571429;0,00357142898928571;0;0;0,00714285697857143;0;0,00357142898928571;0;0,0178571429464286;0,00714285697857143;0,0428571428714286;0;0,00357142898928571;0;0,0357142858928571;0;0,00357142898928571;0,703571426889286;0;0;0;0;0;0;0;0;0;0,00357142898928571;0;0;0;0;0;0;0;0,135714285592857;0;0,00714285697857143;0,0107142859678571;0;0;0;0;0;0
"17";1598,5;0,0483870970967742;0;0;0,00806451601612903;0,0564516131129032;0;0,0161290320322581;0;0,00806451601612903;0;0,0282258060564516;0,00403225800806452;0,0120967740241935;0;0,00403225800806452;0;0,00403225800806452;0,45564516191129;0;0,334677419669355;0;0;0;0;0;0;0;0,0120967740241935;0;0;0;0;0,00403225800806452;0;0;0;0,00403225800806452;0;0;0;0;0;0;0;0
"18";1910;0,0414937759585062;0,00829875499170124;0;0;0,00829875499170124;0,00829875499170124;0,0165975099834025;0;0,0207468879792531;0;0,00414937799585062;0;0;0,0373443979626556;0,0248962659751037;0;0,0124481329875519;0,419087136580913;0,00829875499170124;0,00829875499170124;0,00414937799585062;0;0,33195020666805;0;0;0;0;0;0;0;0;0;0,00414937799585062;0;0;0,0124481329875519;0,0248962659751037;0;0;0,00414937799585062;0;0;0;0;0
"19";2207,5;0,0181818179454545;0;0;0,00454545498636363;0,0136363639590909;0;0,00909090897272727;0;0,218181817345455;0,00454545498636363;0,0272727269181818;0;0;0,0227272729318182;0,00909090897272727;0;0,00454545498636363;0,590909089227273;0;0,00454545498636363;0;0;0,00909090897272727;0;0,00454545498636363;0;0;0,0227272729318182;0;0;0;0;0;0;0;0,00454545498636363;0,0181818179454545;0,00454545498636363;0;0;0,00909090897272727;0;0;0;0
"20";2255;0,0199004980199005;0;0;0;0,0597014930597015;0;0,0547263680547264;0;0,0895522390895522;0,0248756220248756;0,0199004980199005;0;0,00497512400497512;0,0248756220248756;0,00995024900995025;0;0,0248756220248756;0,59203980159204;0,00497512400497512;0;0;0;0;0;0,00497512400497512;0;0;0,00497512400497512;0;0,00497512400497512;0;0;0,00497512400497512;0;0;0;0,0348258710348259;0;0;0,00497512400497512;0,00497512400497512;0,00497512400497512;0;0;0
"21";2425;0,108808290326425;0,00518134701554404;0;0;0,0414507771243523;0,00518134701554404;0,0984455962953368;0;0,0207253890621762;0;0,0466321241398964;0,00518134701554404;0;0,0103626940310881;0,0155440410466321;0;0,0569948191709845;0,481865286445596;0;0,0207253890621762;0;0,0155440410466321;0,0103626940310881;0;0;0;0;0,0103626940310881;0;0;0;0;0,0103626940310881;0;0;0;0,0155440410466321;0,00518134701554404;0;0;0;0;0,0155440410466321;0;0
"22";3210,5;0,0360360358198198;0;0;0;0,0495495497522523;0,0225225228873874;0,135135134324324;0;0,198198197009009;0;0,0360360358198198;0;0,00450450497747748;0,0450450447747748;0,0540540537297297;0;0,0495495497522523;0,139639639301802;0;0,0405405407972973;0;0,00450450497747748;0,0315315318423423;0;0,00450450497747748;0;0;0,0135135139324324;0;0;0;0;0;0;0;0,00900900895495496;0,121621621391892;0,00450450497747748;0;0;0;0;0;0;0
"23";3813;0,0152284260304569;0;0;0;0,0456852790913706;0,00507614201015228;0,0862944161725888;0;0,0253807110507614;0,0101522840203046;0;0;0,0253807110507614;0,00507614201015228;0,0101522840203046;0;0,0761421321522843;0,568527920137056;0,00507614201015228;0,0152284260304569;0;0;0,00507614201015228;0;0;0;0;0,0152284260304569;0,00507614201015228;0;0;0;0,00507614201015228;0;0;0,0253807110507614;0,0304568530609137;0;0;0,0101522840203046;0;0;0;0,0101522840203046;0
"24";4352;0,03125;0;0,005208333;0;0,015625;0;0,041666667;0;0,015625;0,026041667;0,026041667;0,005208333;0;0,036458333;0,026041667;0;0,166666667;0,421875;0;0,03125;0;0;0,010416667;0;0;0;0;0,057291667;0;0,005208333;0;0;0,005208333;0;0;0;0,052083333;0,015625;0;0,005208333;0;0;0;0;0
"25";4894;0,0337837839324324;0;0;0,00675675698648649;0,0337837839324324;0,0202702699594595;0,175675675648649;0,013513513972973;0,0743243238513513;0;0,0270270269459459;0,013513513972973;0,0202702699594595;0,0202702699594595;0;0;0,128378377743243;0,270270269459459;0;0,0337837839324324;0,00675675698648649;0;0,00675675698648649;0;0,00675675698648649;0;0;0,0337837839324324;0,00675675698648649;0;0;0;0;0;0;0,0202702699594595;0,0337837839324324;0,00675675698648649;0;0,00675675698648649;0;0;0;0;0
