"";"";"Amaranthaceae";"Asteraceae.tub.";"Asteraceae.lig.";"Cyperaceae";"Poaceae";"Pinus";"Apiaceae";"Lamiaceae";"Brassicaceae";"Eucaliptus";"Cannabaceae.Ostrya";"Malvaceae";"Centaurea";"Morella.Corylus";"Plantago";"Rumex";"Betula";"Quercus";"Alnus";"Ulmus";"Tamarix.type";"CV.4";"Ficus";"Artemisia";"Ilex";"Juniperus";"Ericaceae";"Oleaceae";"Faidherbia.albida";"Persea.americana";"Dracaena.Draco.subsp..Caboverdeana";"Asparagus.type";"Euphorbia.tuckeyana";"Euphorbiaceae..other.";"Asystasia";"Dicliptera";"Campanulaceae";"Caryophilaceae";"Annonaceae.type";"Fabaceae..other.";"Rubiaceae";"Aeonium";"Urticaceae";"Commelinaceae";"Convolvulaceae";"Cucurbitaceae";"Cerealia";"Zea.mays";"Ipomoea.batatas";"Phaesolus"
"1";-65;0,0330578510330579;0,338842975338843;0,0413223140413223;0,0413223140413223;0,0909090910909091;0,0909090910909091;0,0206611570206612;0,0330578510330579;0,173553719173554;0,0867768600867769;0;0,00413223100413223;0;0;0;0;0;0;0;0;0;0;0;0,00413223100413223;0;0;0;0;0;0;0;0;0;0,0165289260165289;0,0123966940123967;0;0;0;0;0;0;0;0;0;0;0;0,00826446300826446;0,00413223100413223;0;0
"2";-54;0,078616352;0,327044025;0,031446541;0,031446541;0,031446541;0,135220126;0,009433962;0,012578616;0,242138365;0,025157233;0;0,003144654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,059748428;0;0;0;0;0;0;0;0;0;0,006289308;0;0,003144654;0,003144654;0;0
"3";-40;0,0723684209276316;0,210526315789474;0,138157894861842;0,118421052881579;0,0690789469309211;0,0657894739342105;0;0,00328947399671053;0,259868420740132;0,0164473679835526;0;0,00328947399671053;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0164473679835526;0;0;0;0;0;0;0;0,00328947399671053;0;0,00986842099013158;0;0,00328947399671053;0,00657894699342105;0;0,00328947399671053
"4";-27;0,112179487112179;0,233974359233974;0,0929487180929487;0,0544871790544872;0,0288461540288462;0,0801282050801282;0,00961538500961539;0,0192307690192308;0,326923077326923;0,0160256410160256;0;0,00320512800320513;0,00320512800320513;0,00320512800320513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00641025600641026;0;0;0;0;0;0;0;0;0;0,00961538500961539;0;0;0;0;0
"5";-13;0,107382549785235;0,271812080456376;0,073825502852349;0,117449663765101;0,0369127519261745;0,0469798659060403;0,0234899329530201;0,0369127519261745;0,19127516761745;0,0268456379463087;0,00335570499328859;0,0100671139798658;0,00335570499328859;0,00671140898657718;0;0;0;0;0;0;0;0,00335570499328859;0;0,00335570499328859;0;0;0;0,00335570499328859;0;0;0;0;0;0;0,016778522966443;0;0;0;0;0,00335570499328859;0;0;0;0;0,0100671139798658;0;0;0,00335570499328859;0;0
"6";16;0,106382978787234;0,182370820635258;0,0455927049088146;0,215805470568389;0,0486322189027356;0,00303951399392097;0,0303951369392097;0,00303951399392097;0,322188449355623;0,0121580549756839;0;0;0;0,00303951399392097;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00303951399392097;0,00607902698784195;0,0121580549756839;0;0;0;0;0;0;0;0;0;0,00607902698784195;0;0;0;0;0
"7";44;0,016286645;0,195439739;0,061889251;0,32247557;0,052117264;0;0;0,003257329;0,328990228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,019543974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8";73;0,113924051113924;0,208860759208861;0,0506329110506329;0,322784810322785;0,0443037970443038;0;0,0379746840379747;0,0474683540474684;0,151898734151899;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00949367100949367;0,0126582280126582;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"9";101;0,163841808;0,172316384;0,050847458;0,313559322;0,059322034;0;0,025423729;0,053672316;0,146892655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,005649718;0;0;0,008474576;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"10";129;0,175548589;0,156739812;0,056426332;0,247648903;0,059561129;0;0,07523511;0,037617555;0,169278997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,006269592;0;0;0,015673981;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";158;0,177049180177049;0,180327869180328;0,0655737700655738;0,252459016252459;0,0590163930590164;0;0,0262295080262295;0,0327868850327869;0,190163934190164;0;0;0;0;0;0;0;0;0;0;0;0,00327868900327869;0,00327868900327869;0;0;0;0;0;0;0;0;0;0;0,00655737700655738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00327868900327869;0
"12";186;0,160256410480769;0,224358974673077;0,0897435902692308;0,160256410480769;0,0384615381153846;0;0,0384615381153846;0,0128205130384615;0,237179487711538;0;0;0,00641025601923077;0;0,0128205130384615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00641025601923077;0;0;0,00641025601923077;0;0;0;0;0;0;0;0;0;0;0;0;0,00641025601923077;0
"13";214;0,195121951;0,182926829;0,103658537;0,12804878;0,036585366;0;0,048780488;0,012195122;0,256097561;0;0;0;0;0,006097561;0;0;0;0;0;0;0;0,006097561;0;0;0;0;0;0;0;0;0;0;0,012195122;0;0;0;0;0;0;0;0;0;0,006097561;0;0;0;0;0,006097561;0;0
"14";242;0,0999999998;0,283333332433333;0,0888888888222222;0,116666666766667;0,0333333329333333;0;0,0277777779444444;0,0277777779444444;0,2999999994;0;0;0;0;0;0;0;0;0;0;0;0;0,00555555598888889;0;0;0;0;0;0;0;0;0;0;0,00555555598888889;0;0;0,00555555598888889;0;0;0;0;0;0;0;0;0;0,00555555598888889;0;0;0;0
"15";271;0,117647058764706;0,196078430607843;0,124183006751634;0,169934640660131;0,0326797389346405;0;0,0196078429607843;0,0130718949738562;0,281045751437908;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0065359479869281;0;0;0;0;0;0;0,0065359479869281;0;0;0,0261437909477124;0;0;0,0065359479869281;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"16";299;0,061643836;0,321917808;0,198630137;0,034246575;0,01369863;0;0,02739726;0,01369863;0,260273973;0;0;0;0;0,006849315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,061643836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"17";327;0,0347222220694444;0,333333333666667;0,145833333291667;0,0416666670833333;0,0277777780555556;0,00694444401388889;0,00694444401388889;0;0,319444444638889;0;0;0;0;0;0,0347222220694444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0138888890277778;0;0;0,0347222220694444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18";355;0,0387596899612403;0,248062015751938;0,116279069883721;0,0155038759844961;0,0155038759844961;0,0155038759844961;0,0155038759844961;0;0,410852712589147;0;0;0,00775193799224806;0;0,00775193799224806;0,0155038759844961;0;0;0;0;0;0,00775193799224806;0;0;0;0;0;0;0;0,00775193799224806;0;0,00775193799224806;0;0,0620155039379845;0;0;0;0,00775193799224806;0;0;0;0;0;0;0;0;0;0;0;0;0
"19";383;0,00793650799206349;0,261904761738095;0,150793650849206;0,0238095239761905;0,031746031968254;0;0,015873015984127;0,015873015984127;0,333333332666667;0;0;0;0;0;0,015873015984127;0;0;0;0,00793650799206349;0;0;0;0;0,015873015984127;0;0;0;0;0;0;0;0;0,103174602896825;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,015873015984127;0;0
"20";411,5;0,0108695650217391;0,163043478326087;0,11956521723913;0,0434782610869565;0,0652173911304348;0;0;0,0108695650217391;0,152173913304348;0;0;0;0;0,0108695650217391;0,228260870456522;0;0,0108695650217391;0;0,0434782610869565;0;0;0;0,0108695650217391;0;0;0;0;0;0;0;0,0217391300434783;0;0,0652173911304348;0;0;0;0,0434782610869565;0;0;0;0;0;0;0;0;0;0;0;0;0
"21";440;0,0190476189238095;0,104761904580952;0,0571428567714286;0,104761904580952;0,0857142856571429;0,00952380996190476;0,00952380996190476;0;0,0857142856571429;0;0;0;0;0;0,38095237947619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00952380996190476;0;0,0476190478095238;0;0;0;0,0285714288857143;0,0285714288857143;0;0;0;0;0,0190476189238095;0,00952380996190476;0;0;0;0;0;0
"22";468;0,0291262140291262;0,116504854116505;0,0485436890485437;0,0388349510388349;0,0679611650679612;0,00970873800970874;0;0;0,0485436890485437;0;0;0;0;0;0,330097087330097;0;0,0194174760194175;0;0,00970873800970874;0;0;0;0,0485436890485437;0;0,00970873800970874;0,00970873800970874;0;0;0;0;0,0388349510388349;0;0,0388349510388349;0;0;0;0;0,0388349510388349;0,0291262140291262;0;0,00970873800970874;0,00970873800970874;0,00970873800970874;0,0291262140291262;0;0,00970873800970874;0;0;0;0
"23";496;0;0,14432989757732;0,0515463922061856;0,0721649482886598;0,0412371131649484;0,0206185570824742;0,0103092780412371;0;0,134020619536082;0;0,0103092780412371;0;0;0,0103092780412371;0,329896908319588;0;0,0103092780412371;0;0,0103092780412371;0;0,0103092780412371;0;0;0;0;0;0;0;0;0;0,0103092780412371;0,0103092780412371;0,0721649482886598;0;0;0;0;0,0103092780412371;0;0;0;0;0,0103092780412371;0,0103092780412371;0;0,0206185570824742;0;0;0;0
"24";527;0,0268456380268456;0,268456376268456;0,208053691208054;0,00671140900671141;0,0201342280201342;0;0,0201342280201342;0;0,255033557255034;0;0;0;0;0,00671140900671141;0,0134228190134228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,161073826161074;0;0;0;0;0;0;0;0;0;0,00671140900671141;0,00671140900671141;0;0;0;0;0;0
"25";1958,5;0,0306122449693878;0,306122448693878;0,204081632795918;0,0306122449693878;0,0510204079489796;0;0,0306122449693878;0;0,102040815897959;0;0;0;0;0,0102040819897959;0,0306122449693878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,193877550806122;0;0;0;0;0;0;0;0;0;0,0102040819897959;0;0;0;0;0;0;0
"26";3387;0,018018018018018;0,189189189189189;0,486486486486486;0,00900900900900901;0,0720720720720721;0;0,018018018018018;0;0,0990990990990991;0;0,00900900900900901;0;0;0,00900900900900901;0,00900900900900901;0;0;0;0;0;0;0;0,027027027027027;0;0;0;0;0;0;0;0;0;0,036036036036036;0;0;0;0;0;0;0;0;0;0,00900900900900901;0,00900900900900901;0;0;0;0;0;0
"27";4263;0,028169014;0,521126761;0,225352113;0,014084507;0,028169014;0;0;0;0,014084507;0;0;0;0;0,014084507;0,042253521;0;0;0;0;0;0;0;0,028169014;0;0;0;0;0;0;0;0;0,042253521;0,042253521;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
